,T0,T1,assumption,positive_only,countries,sample_size,power,follow_up
1,3,5,best,TRUE,3,162.262,0.39,837.3383988
2,3,6,best,TRUE,3,162.262,0.459,976.3616646
3,3,7,best,TRUE,3,162.262,0.498,1085.596394
4,3,8,best,TRUE,3,162.262,0.536,1171.363046
5,3,9,best,TRUE,3,162.262,0.564,1238.527048
6,3,10,best,TRUE,3,162.262,0.586,1291.453502
7,4,5,best,TRUE,3,216.56,0.458,740.8908539
8,4,6,best,TRUE,3,216.56,0.565,900.8002433
9,4,7,best,TRUE,3,216.56,0.618,1026.100489
10,4,8,best,TRUE,3,216.56,0.661,1124.524114
11,4,9,best,TRUE,3,216.56,0.688,1201.636998
12,4,10,best,TRUE,3,216.56,0.713,1262.295561
13,5,5,best,TRUE,3,270.299,0.501,627.1745061
14,5,6,best,TRUE,3,270.299,0.587,811.9737123
15,5,7,best,TRUE,3,270.299,0.677,956.7693323
16,5,8,best,TRUE,3,270.299,0.72,1070.379572
17,5,9,best,TRUE,3,270.299,0.753,1159.297024
18,5,10,best,TRUE,3,270.299,0.787,1229.187425
19,3,5,unif,TRUE,3,162.018,0.225,822.665796
20,3,6,unif,TRUE,3,162.018,0.246,955.2204908
21,3,7,unif,TRUE,3,162.018,0.274,1057.671344
22,3,8,unif,TRUE,3,162.018,0.291,1137.075323
23,3,9,unif,TRUE,3,162.018,0.3,1198.568191
24,3,10,unif,TRUE,3,162.018,0.331,1246.232557
25,4,5,unif,TRUE,3,216.152,0.275,729.5681408
26,4,6,unif,TRUE,3,216.152,0.293,883.1549145
27,4,7,unif,TRUE,3,216.152,0.331,1001.652872
28,4,8,unif,TRUE,3,216.152,0.355,1093.352196
29,4,9,unif,TRUE,3,216.152,0.37,1164.272273
30,4,10,unif,TRUE,3,216.152,0.393,1219.224674
31,5,5,unif,TRUE,3,269.815,0.282,617.7738086
32,5,6,unif,TRUE,3,269.815,0.342,797.0888002
33,5,7,unif,TRUE,3,269.815,0.374,935.437049
34,5,8,unif,TRUE,3,269.815,0.411,1042.343725
35,5,9,unif,TRUE,3,269.815,0.448,1124.912979
36,5,10,unif,TRUE,3,269.815,0.463,1188.9105
37,3,5,best,FALSE,3,648.561,0.734,826.5350004
38,3,6,best,FALSE,3,648.561,0.805,960.5547261
39,3,7,best,FALSE,3,648.561,0.83,1064.603233
40,3,8,best,FALSE,3,648.561,0.862,1145.231149
41,3,9,best,FALSE,3,648.561,0.873,1207.773348
42,3,10,best,FALSE,3,648.561,0.884,1256.293376
43,4,5,best,FALSE,3,865.106,0.809,732.7468423
44,4,6,best,FALSE,3,865.106,0.877,888.0598588
45,4,7,best,FALSE,3,865.106,0.914,1008.542057
46,4,8,best,FALSE,3,865.106,0.926,1102.040992
47,4,9,best,FALSE,3,865.106,0.934,1174.646827
48,4,10,best,FALSE,3,865.106,0.942,1230.958449
49,5,5,best,FALSE,3,1080.642,0.826,620.0889356
50,5,6,best,FALSE,3,1080.642,0.915,800.9619979
51,5,7,best,FALSE,3,1080.642,0.946,941.0859736
52,5,8,best,FALSE,3,1080.642,0.964,1049.783359
53,5,9,best,FALSE,3,1080.642,0.974,1134.10996
54,5,10,best,FALSE,3,1080.642,0.978,1199.514064
55,3,5,unif,FALSE,3,647.767,0.309,809.1341017
56,3,6,unif,FALSE,3,647.767,0.345,935.9989766
57,3,7,unif,FALSE,3,647.767,0.396,1032.877212
58,3,8,unif,FALSE,3,647.767,0.415,1106.764157
59,3,9,unif,FALSE,3,647.767,0.437,1163.137469
60,3,10,unif,FALSE,3,647.767,0.462,1206.199808
61,4,5,unif,FALSE,3,863.418,0.366,718.5452412
62,4,6,unif,FALSE,3,863.418,0.419,866.8611394
63,4,7,unif,FALSE,3,863.418,0.471,980.0617388
64,4,8,unif,FALSE,3,863.418,0.537,1066.400997
65,4,9,unif,FALSE,3,863.418,0.552,1132.33851
66,4,10,unif,FALSE,3,863.418,0.576,1182.734582
67,5,5,unif,FALSE,3,1078.662,0.374,608.4974042
68,5,6,unif,FALSE,3,1078.662,0.469,782.9815572
69,5,7,unif,FALSE,3,1078.662,0.531,916.0562398
70,5,8,unif,FALSE,3,1078.662,0.572,1017.565722
71,5,9,unif,FALSE,3,1078.662,0.627,1095.091986
72,5,10,unif,FALSE,3,1078.662,0.654,1154.378534
73,3,5,best,TRUE,4,216.56,0.519,837.2210347
74,3,6,best,TRUE,4,216.56,0.585,976.0521801
75,3,7,best,TRUE,4,216.56,0.641,1085.261412
76,3,8,best,TRUE,4,216.56,0.669,1170.819826
77,3,9,best,TRUE,4,216.56,0.7,1238.01294
78,3,10,best,TRUE,4,216.56,0.713,1290.906096
79,4,5,best,TRUE,4,288.53,0.59,741.42215
80,4,6,best,TRUE,4,288.53,0.673,901.3545502
81,4,7,best,TRUE,4,288.53,0.745,1026.959564
82,4,8,best,TRUE,4,288.53,0.772,1125.315619
83,4,9,best,TRUE,4,288.53,0.814,1202.577453
84,4,10,best,TRUE,4,288.53,0.822,1263.208807
85,5,5,best,TRUE,4,360.406,0.612,627.2303523
86,5,6,best,TRUE,4,360.406,0.729,812.2795719
87,5,7,best,TRUE,4,360.406,0.796,957.3533082
88,5,8,best,TRUE,4,360.406,0.842,1070.971214
89,5,9,best,TRUE,4,360.406,0.866,1160.146432
90,5,10,best,TRUE,4,360.406,0.886,1230.116513
91,3,5,unif,TRUE,4,216.152,0.297,822.8680111
92,3,6,unif,TRUE,4,216.152,0.315,955.0640508
93,3,7,unif,TRUE,4,216.152,0.344,1057.233662
94,3,8,unif,TRUE,4,216.152,0.361,1136.304052
95,3,9,unif,TRUE,4,216.152,0.382,1197.499977
96,3,10,unif,TRUE,4,216.152,0.406,1245.013296
97,4,5,unif,TRUE,4,287.953,0.336,729.961045
98,4,6,unif,TRUE,4,287.953,0.389,883.7543753
